DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Co Op Gas Inc.,2/1/2013 2:03:53 PM,518089240657874,Tom Ellison,2/1/2013 2:03:53 PM,2/1/2013 6:03:04 PM,2/4/2013 1:55:32 PM,,Approved,E-Innovations 2,
Collegiate Pacific,10/9/2013 1:01:10 PM,518089240719328,Tom  Ellison,10/9/2013 1:01:10 PM,10/9/2013 1:19:00 PM,10/9/2013 4:57:07 PM,8/23/2019 3:47:04 PM,Closed,E-Innovations 2,
Collegiate Pacific,6/6/2011 4:27:01 PM,518089240489559,Dave Robb,6/6/2011 4:27:01 PM,6/6/2011 4:47:40 PM,6/7/2011 3:14:49 PM,11/4/2013 10:51:36 AM,Closed,E-Innovations 2,
Creative Urethanes,1/20/2012 2:52:42 PM,518089240550160,Tom Ellison,1/20/2012 2:52:42 PM,1/20/2012 3:53:04 PM,1/20/2012 5:52:53 PM,1/21/2019 11:48:56 AM,Closed,E-Innovations 2,
Ehren Haus Industries Inc.,3/20/2020 2:40:30 PM,554402000581793,Tom  Ellison,3/20/2020 2:40:30 PM,3/20/2020 2:58:11 PM,3/23/2020 10:54:10 AM,9/24/2020 11:40:24 AM,Closed,E-Innovations 2,
Exlon Extrusions,5/1/2012 11:29:41 PM,518089240581272,Tom Ellison,5/1/2012 11:29:42 PM,5/1/2012 11:40:50 PM,5/2/2012 1:33:14 PM,12/17/2021 3:32:37 PM,Closed,E-Innovations 2,
F.E.I. Conveyors,6/13/2021 3:09:46 PM,554402000645705,Tom  Ellison,6/13/2021 3:09:46 PM,6/13/2021 3:46:51 PM,6/15/2021 5:13:17 PM,,Approved,E-Innovations 2,
"Frenzelit, Inc.",8/9/2018 3:28:00 PM,554402000472332,Tom  Ellison,8/9/2018 3:28:00 PM,8/9/2018 4:13:35 PM,8/14/2018 10:27:47 AM,,Approved,E-Innovations 2,
Glen Davis Electric Company,12/10/2012 11:06:47 PM,518089240644922,Tom Ellison,12/10/2012 11:06:47 PM,12/11/2012 7:57:06 AM,12/11/2012 5:52:57 PM,10/21/2014 2:52:21 PM,Closed,E-Innovations 2,
H & M USA Dies,9/28/2017 11:59:36 AM,554402000417527,Tom  Ellison,9/28/2017 11:59:36 AM,9/28/2017 12:48:33 PM,10/3/2017 6:18:42 PM,,Approved,E-Innovations 2,
Hall Dielectric Machinery,5/3/2017 3:54:30 PM,554402000394692,Tom  Ellison,5/3/2017 3:54:30 PM,5/3/2017 5:01:51 PM,5/4/2017 10:08:55 AM,,Approved,E-Innovations 2,
Hi Tech Products,7/8/2011 4:31:15 PM,518089240502377,Tom Ellison,7/8/2011 4:31:15 PM,7/8/2011 5:44:16 PM,7/12/2011 4:02:13 PM,10/14/2012 2:30:13 PM,Closed,E-Innovations 2,
Industrial Power Inc 1,6/24/2012 8:25:37 PM,518089240596643,Tom Ellison,6/24/2012 8:25:37 PM,6/25/2012 10:02:25 AM,6/25/2012 2:12:25 PM,8/6/2013 10:36:47 AM,Closed,E-Innovations 2,
Industrial Power Inc 1,5/27/2013 10:59:18 PM,518089240688424,Tom Ellison,5/27/2013 10:59:18 PM,5/27/2013 11:09:38 PM,5/28/2013 2:51:45 PM,,Approved,E-Innovations 2,
Industrial Power Inc 2,5/27/2013 11:19:38 PM,518089240688432,Tom Ellison,5/27/2013 11:19:38 PM,5/27/2013 11:26:03 PM,5/28/2013 2:52:34 PM,,Approved,E-Innovations 2,
Industrial Power Inc 2,6/24/2012 8:46:07 PM,518089240596650,Tom Ellison,6/24/2012 8:46:07 PM,6/25/2012 10:03:14 AM,6/25/2012 2:13:48 PM,8/6/2013 10:37:04 AM,Closed,E-Innovations 2,
Industrial Technical Sales & Service,3/25/2018 12:33:27 PM,554402000445262,Tom  Ellison,3/25/2018 12:33:27 PM,3/25/2018 12:55:31 PM,3/27/2018 11:55:38 AM,,Approved,E-Innovations 2,
James E. Watson & Co.,12/2/2015 12:23:30 PM,554402000301945,Tom  Ellison,12/2/2015 12:23:30 PM,12/2/2015 12:52:47 PM,12/2/2015 4:21:34 PM,,Approved,E-Innovations 2,
Jess W. Jackson & Associates,11/5/2016 3:42:55 PM,554402000366963,Tom  Ellison,11/5/2016 3:42:55 PM,11/5/2016 4:02:31 PM,11/8/2016 5:23:44 PM,,Approved,E-Innovations 2,
K-Flex USA,7/31/2019 4:26:00 PM,554402000538348,Tom  Ellison,7/31/2019 4:26:00 PM,8/1/2019 8:36:09 AM,8/1/2019 4:56:36 PM,3/12/2020 7:34:42 AM,Closed,E-Innovations 2,
Keim Mineral Coatings of America,2/27/2020 9:46:45 PM,554402000579235,Tom  Ellison,2/27/2020 9:46:45 PM,2/28/2020 9:16:06 AM,3/9/2020 10:38:16 AM,,Approved,E-Innovations 2,
Kymco USA Inc,1/23/2013 3:34:23 PM,518089240656603,Tom  Ellison,1/23/2013 3:34:23 PM,1/23/2013 7:37:30 PM,1/30/2013 5:28:28 PM,8/27/2015 7:35:04 AM,Closed,E-Innovations 2,
Lee Spring Company,7/24/2011 2:38:51 PM,518089240509521,Tom  Ellison,7/24/2011 2:38:51 PM,7/26/2011 1:03:31 PM,8/2/2011 4:51:50 PM,7/5/2013 9:51:36 AM,Closed,E-Innovations 2,
Lee Spring Company,6/7/2013 4:12:12 PM,518089240691618,Tom  Ellison,6/7/2013 4:12:12 PM,6/7/2013 5:14:06 PM,6/10/2013 2:18:52 PM,8/28/2015 5:58:52 AM,Closed,E-Innovations 2,
"Liquid Handling Specialists, Inc.",3/17/2022 2:03:08 PM,554402000679423,Tom  Ellison,3/17/2022 2:03:08 PM,3/17/2022 2:24:52 PM,3/18/2022 6:54:24 PM,,Approved,E-Innovations 2,
Lollis Metals Inc,11/30/2012 10:47:57 AM,518089240642678,Tom Ellison,11/30/2012 10:47:57 AM,11/30/2012 11:10:32 AM,11/30/2012 4:49:22 PM,,Approved,E-Innovations 2,
Magna IV,12/22/2021 10:58:39 AM,554402000668715,Tom  Ellison,12/22/2021 10:58:39 AM,12/22/2021 11:11:00 AM,12/23/2021 10:18:58 AM,,Approved,E-Innovations 2,
Magna IV,3/7/2016 10:30:38 PM,554402000322172,Tom  Ellison,3/7/2016 10:30:38 PM,3/7/2016 11:00:23 PM,3/10/2016 9:49:28 AM,2/8/2022 11:45:07 AM,Closed,E-Innovations 2,
Magna IV    2,12/19/2021 1:13:51 PM,554402000668848,Tom  Ellison,12/19/2021 1:13:51 PM,12/22/2021 11:11:56 AM,12/27/2021 11:28:14 AM,,Approved,E-Innovations 2,
Magna IV    2,1/31/2019 4:56:01 PM,554402000500892,Tom  Ellison,1/31/2019 4:56:01 PM,1/31/2019 5:09:22 PM,2/4/2019 5:30:23 PM,2/8/2022 11:50:59 AM,Closed,E-Innovations 2,
Mahr Metering Systems Corp,1/9/2014 5:22:02 PM,518089240739342,Tom  Ellison,1/9/2014 5:22:02 PM,1/9/2014 5:39:59 PM,1/10/2014 4:55:13 PM,5/31/2014 9:54:42 AM,Approved,E-Innovations 2,
Marsh Propane -  Greeneville,5/9/2020 9:22:38 AM,554402000587345,Tom  Ellison,5/9/2020 9:22:38 AM,5/9/2020 9:25:05 AM,5/11/2020 2:59:50 PM,,Approved,E-Innovations 2,
Marsh Propane -  Greeneville,4/23/2020 12:30:38 PM,554402000585299,Tom  Ellison,4/23/2020 12:30:38 PM,4/23/2020 12:58:20 PM,4/23/2020 7:02:22 PM,5/16/2020 2:33:45 PM,Closed,E-Innovations 2,
Marsh Propane -  Sevierville,6/1/2021 7:37:41 AM,554402000642736,Tom  Ellison,6/1/2021 7:37:41 AM,6/1/2021 7:46:59 AM,6/1/2021 12:05:20 PM,,Approved,E-Innovations 2,
Marsh Propane - Abingdon,6/18/2020 3:45:57 PM,554402000592816,Tom  Ellison,6/18/2020 3:45:57 PM,6/22/2020 12:05:19 PM,6/22/2020 6:58:33 PM,,Approved,E-Innovations 2,
Marsh Propane - Asheville,6/18/2020 4:07:37 PM,554402000592790,Tom  Ellison,6/18/2020 4:07:37 PM,6/22/2020 11:37:07 AM,6/22/2020 6:44:17 PM,,Approved,E-Innovations 2,
